game,avg_rating,rating_count
Transformers War for Cybertron,14.971428571428572,7
Divinity II - Ego Draconis,14.95,2
"Warhammer 40,000 Space Marine",14.940540540540539,37
Mutant Mudds Deluxe,14.9,1
Gravity Badgers,14.9,1
Spore Creepy & Cute Parts Pack,14.883333333333333,6
The Sims(TM) Medieval,14.85,4
4 Elements,14.85,4
Reign Of Kings,14.821739130434782,23
Hate Plus,14.8,1
Pongo,14.8,1
Star Wars - Jedi Knight Mysteries of the Sith,14.8,1
Minimon,14.8,1
Batman Arkham Asylum GOTY Edition,14.741489361702127,94
Project CARS,14.717391304347826,23
RPG Maker XP,14.7,2
Farming Simulator 2013 - Modding Tutorials,14.7,1
Warframe,14.695751633986927,306
Wargame European Escalation,14.669230769230769,26
MechWarrior Online,14.666666666666666,3
Grand Theft Auto 2,14.6,1
NEOTOKYO,14.6,2
Sky Nations,14.6,1
Battle Academy,14.6,1
Runestone Keeper,14.6,3
Magic Duels,14.558333333333332,48
Risen,14.549999999999999,12
DmC Devil May Cry,14.548571428571428,35
Don't Starve,14.548305084745763,118
Bully Scholarship Edition,14.525,16
DC Universe Online,14.518110236220473,127
War of the Roses,14.5,27
The Movies,14.5,1
Dungeons 2,14.483333333333334,6
PlanetSide 2,14.45776397515528,161
FlatOut Ultimate Carnage,14.440000000000001,5
Overlord II,14.436363636363637,22
Resident Evil / biohazard HD REMASTER,14.416666666666666,6
The Impossible Game,14.4,1
Nostradamus The Last Prophecy,14.4,1
Medal of Honor Airborne,14.3875,8
Half-Life 2,14.368292682926828,287
Ori and the Blind Forest,14.357692307692307,26
Supreme Commander,14.353846153846153,13
Sniper Ghost Warrior,14.35,40
Tomb Raider I,14.35,4
Rogue Legacy,14.340384615384616,52
Hotline Miami 2 Wrong Number,14.323076923076922,13
The Banner Saga,14.317391304347826,23
Planets Under Attack,14.3,1
Joe Dever's Lone Wolf HD Remastered,14.3,1
The Jackbox Party Pack 2,14.3,1
Broken Sword 5 - the Serpent's Curse,14.299999999999999,6
Don't Starve Together Beta,14.294736842105264,133
Blackguards,14.266666666666667,9
LEGO Batman 2,14.225,4
Risk of Rain,14.182758620689656,58
Max Payne 2 The Fall of Max Payne,14.166666666666666,9
Lifeless Planet,14.15,4
Enemy Front,14.149999999999999,4
This War of Mine,14.129411764705884,51
Painkiller Gold Edition,14.1,1
Big Pharma,14.1,2
Cricket Captain 2014,14.1,2
State of Decay,14.095652173913043,46
Valkyria Chronicles,14.059999999999999,20
